Effective From:Â June 01,2020	Product Name	Rs./litreE10 Gasoline	72.03Altron Premium	74.52Action + Diesel	80.15LDO	38.14SKO	35.56JP-1	24.85	
HOBC	135.81
Altron Premium	103.36
Altron Plus Diesel	107
LDO	0
SKO	0
JP-1	0
	
Effective From:Â April 01,2012	
Product Name	Rs./litre
E10 Gasoline	103.18
HOBC	135.81
Altron Premium	105.68
Altron Plus Diesel	108.16
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 01,2012	
Product Name	Rs./litre
E10 Gasoline	95.17
HOBC	126.87
Altron Premium	97.66
Altron Plus Diesel	103.46
LDO	0
SKO	96.4
JP-1	0
	
Effective From:Â February 01,2012	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	118.2
Altron Premium	94.91
Altron Plus Diesel	103.46
LDO	0
SKO	0
JP-1	0
	
Effective From:Â January 01,2012	
Product Name	Rs./litre
E10 Gasoline	87.05
HOBC	111.91
Altron Premium	89.54
Altron Plus Diesel	98.82
LDO	0
SKO	0
JP-1	0
	
Effective From:Â December 01,2011	
Product Name	Rs./litre
E10 Gasoline	85.39
HOBC	106.78
Altron Premium	87.89
Altron Plus Diesel	98.82
LDO	0
SKO	0
JP-1	0
	
Effective From:Â November 01,2011	
Product Name	Rs./litre
E10 Gasoline	84.91
HOBC	106.72
Altron Premium	87.41
Altron Plus Diesel	94.15
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 01,2011	
Product Name	Rs./litre
E10 Gasoline	86.45
HOBC	112.65
Altron Premium	88.95
Altron Plus Diesel	94.15
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 26,2011	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	109
Altron Premium	84.8
Altron Plus Diesel	92.64
LDO	0
SKO	0
JP-1	0
	
Effective From:Â August 01,2011	
Product Name	Rs./litre
E10 Gasoline	82.3
HOBC	107.8
Altron Premium	84.8
Altron Plus Diesel	92.1
LDO	0
SKO	0
JP-1	0
	
Effective From:Â July 01,2011	
Product Name	Rs./litre
E10 Gasoline	81.21
HOBC	102.46
Altron Premium	83.71
Altron Plus Diesel	92.1
LDO	0
SKO	0
JP-1	0
	
Effective From:Â June 01,2011	
Product Name	Rs./litre
E10 Gasoline	84.2
HOBC	99.92
Altron Premium	86.71
Altron Plus Diesel	94.11
LDO	0
SKO	0
JP-1	0
	
Effective From:Â May 01,2011	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	99.92
Altron Premium	88.41
Altron Plus Diesel	97.31
LDO	0
SKO	0
JP-1	0
	
Effective From:Â April 01,2011	
Product Name	Rs./litre
E10 Gasoline	81.06
HOBC	98.12
Altron Premium	83.56
Altron Plus Diesel	92.89
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 15,2011	
Product Name	Rs./litre
E10 Gasoline	74.08
HOBC	90.96
Altron Premium	76.58
Altron Plus Diesel	82.22
LDO	0
SKO	0
JP-1	0
	
Effective From:Â March 01,2011	
Product Name	Rs./litre
E10 Gasoline	77.69
HOBC	95.25
Altron Premium	80.19
Altron Plus Diesel	86.09
LDO	0
SKO	0
JP-1	0
	
Effective From:Â February 01,2011	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	86.67
Altron Premium	72.96
Altron Plus Diesel	78.33
LDO	0
SKO	0
JP-1	0
	
Effective From:Â January 07,2011	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	86.67
Altron Premium	72.96
Altron Plus Diesel	78.33
LDO	0
SKO	0
JP-1	0
	
Effective From:Â January 01,2011	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	94.36
Altron Premium	79.67
Altron Plus Diesel	82.58
LDO	0
SKO	0
JP-1	0
	
Effective From:Â December 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	68.67
Altron Premium	72.96
Altron Plus Diesel	78.33
LDO	0
SKO	0
JP-1	0
	
Effective From:Â November 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	86.67
Altron Premium	72.96
Altron Plus Diesel	78.33
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 22,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	0
Altron Premium	101.08
Altron Plus Diesel	113.29
LDO	0
SKO	0
JP-1	0
	
Effective From:Â October 01,2010	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	79.56
Altron Premium	66.99
Altron Plus Diesel	73.82
LDO	0
SKO	0
JP-1	0
	
Effective From:Â September 01,2010	
